app,category,rating,reviews,size,installs,type,price,content_rating,genres,last_updated,current_ver,android_ver
Sample App 1,SOCIAL,2.0,71638,95M,"10,000+",Paid,0,Mature 17+,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 2,GAME,2.4,32989,62M,"1,000+",Free,$4.99,Everyone 10+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 3,SOCIAL,3.0,15894,60M,100+,Free,0,Teen,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 4,ENTERTAINMENT,2.0,58319,55M,"1,000,000+",Free,0,Everyone 10+,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 5,SHOPPING,4.2,92981,36M,"1,000+",Paid,0,Teen,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 6,PRODUCTIVITY,1.5,92243,58M,"10,000+",Free,0,Teen,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 7,SHOPPING,3.9,19376,53M,"1,000+",Paid,0,Everyone,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 8,TRAVEL,2.6,67099,40M,"1,000+",Free,0,Everyone 10+,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 9,HEALTH_AND_FITNESS,4.8,44105,72M,100+,Paid,0,Everyone,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 10,PRODUCTIVITY,4.5,34809,47M,"1,000+",Paid,$10.99,Everyone,FINANCE,"July 1, 2023",1.0,4.1 and up
Sample App 11,COMMUNICATION,3.9,82173,43M,"1,000,000+",Free,0,Everyone,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 12,SOCIAL,1.4,42146,30M,100+,Free,0,Teen,COMMUNICATION,"July 1, 2023",1.0,4.1 and up
Sample App 13,SHOPPING,2.3,52731,90M,"1,000,000+",Free,0,Everyone,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 14,FINANCE,2.7,16691,41M,"10,000+",Free,$2.99,Mature 17+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 15,FINANCE,4.6,21384,64M,"10,000+",Free,0,Everyone,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 16,PRODUCTIVITY,1.7,9271,23M,"10,000+",Free,0,Teen,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 17,GAME,4.4,46668,89M,"1,000,000+",Paid,0,Everyone,SOCIAL,"July 1, 2023",1.0,4.1 and up
Sample App 18,FINANCE,1.6,46913,39M,"10,000+",Paid,0,Everyone,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 19,PRODUCTIVITY,4.1,10309,58M,100+,Free,$9.99,Everyone 10+,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 20,COMMUNICATION,4.1,60065,87M,"100,000+",Free,0,Everyone,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 21,SOCIAL,4.5,79052,25M,100+,Paid,0,Teen,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 22,COMMUNICATION,1.7,80896,34M,"100,000+",Paid,0,Mature 17+,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 23,PRODUCTIVITY,3.0,68677,43M,"10,000+",Paid,$10.99,Teen,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 24,ENTERTAINMENT,1.5,41716,48M,"100,000+",Free,0,Everyone 10+,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 25,COMMUNICATION,4.3,59107,100M,"1,000,000+",Free,$5.99,Everyone,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 26,EDUCATION,2.2,82747,53M,"100,000+",Paid,$4.99,Mature 17+,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 27,TRAVEL,4.0,23140,19M,"1,000,000+",Free,$7.99,Everyone,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 28,PRODUCTIVITY,3.2,86573,19M,"10,000+",Paid,0,Teen,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 29,COMMUNICATION,3.7,11176,29M,"1,000+",Free,$6.99,Everyone 10+,TRAVEL,"July 1, 2023",1.0,4.1 and up
Sample App 30,GAME,4.0,36416,44M,"100,000+",Free,0,Everyone,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 31,ENTERTAINMENT,4.3,22263,4M,"100,000+",Paid,0,Everyone 10+,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 32,GAME,3.9,19446,38M,"1,000,000+",Free,$7.99,Teen,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 33,PRODUCTIVITY,1.2,69847,40M,"10,000+",Free,$5.99,Everyone 10+,HEALTH_AND_FITNESS,"July 1, 2023",1.0,4.1 and up
Sample App 34,ENTERTAINMENT,1.2,98105,4M,"100,000+",Paid,0,Teen,ENTERTAINMENT,"July 1, 2023",1.0,4.1 and up
Sample App 35,SOCIAL,2.3,90645,57M,"1,000+",Free,0,Everyone 10+,GAME,"July 1, 2023",1.0,4.1 and up
Sample App 36,TRAVEL,2.9,99443,44M,"100,000+",Paid,$10.99,Everyone,PRODUCTIVITY,"July 1, 2023",1.0,4.1 and up
Sample App 37,FINANCE,3.7,37730,41M,100+,Free,0,Teen,SHOPPING,"July 1, 2023",1.0,4.1 and up
Sample App 38,TRAVEL,1.8,36052,65M,"100,000+",Free,0,Teen,EDUCATION,"July 1, 2023",1.0,4.1 and up
Sample App 39,COMMUNICATION,1.2,54053,86M,"1,000+",Free,0,Everyone 10+,TRAVEL,"July 1, 2023",1.0,4.1 and up
